PRIMARY_COM_NAME;SCI_NAME
Graylag x Canada Goose (hybrid);Anser anser x Branta canadensis
Domestic goose sp. x Canada Goose (hybrid);Anser sp. (Domestic type) x Branta canadensis
Snow x Canada Goose (hybrid);Anser caerulescens x Branta canadensis
Ross's x Canada Goose (hybrid);Anser rossii x Branta canadensis
Barnacle x Canada Goose (hybrid);Branta leucopsis x canadensis
Cackling/Canada Goose;Branta hutchinsii/canadensis
Snow/Ross's x Cackling/Canada Goose (hybrid);Anser caerulescens/rossii x Branta hutchinsii/canadensis
Hawaiian Goose;Branta sandvicensis
Barnacle x Hawaiian Goose (hybrid);Branta leucopsis x sandvicensis
Red-breasted Goose;Branta ruficollis
Greater White-fronted x Red-breasted Goose (hybrid);Anser albifrons x Branta ruficollis
Brant x Red-breasted Goose (hybrid);Branta bernicla x ruficollis
Barnacle x Red-breasted Goose (hybrid);Branta leucopsis x ruficollis
Branta sp.;Branta sp.
Cape Barren Goose;Cereopsis novaehollandiae
Freckled Duck;Stictonetta naevosa
Blue-winged Goose;Cyanochen cyanoptera
Mute Swan;Cygnus olor
Graylag Goose x Mute Swan (hybrid);Anser anser x Cygnus olor
Black Swan;Cygnus atratus
Mute x Black Swan (hybrid);Cygnus olor x atratus
Black-necked Swan;Cygnus melancoryphus
Trumpeter Swan;Cygnus buccinator
Mute x Trumpeter Swan (hybrid);Cygnus olor x buccinator
Tundra Swan;Cygnus columbianus
Tundra Swan (Whistling);Cygnus columbianus columbianus
Tundra Swan (Bewick's);Cygnus columbianus bewickii
Tundra Swan (Whistling x Bewick's);Cygnus columbianus columbianus x bewickii
Trumpeter x Tundra Swan (hybrid);Cygnus buccinator x columbianus
Trumpeter/Tundra Swan;Cygnus buccinator/columbianus
Whooper Swan;Cygnus cygnus
Mute x Whooper Swan (hybrid);Cygnus olor x cygnus
Trumpeter x Whooper Swan (hybrid);Cygnus buccinator x cygnus
Tundra/Whooper Swan;Cygnus columbianus/cygnus
swan sp.;Cygnus sp.
Coscoroba Swan;Coscoroba coscoroba
Knob-billed Duck;Sarkidiornis melanotos
Comb Duck;Sarkidiornis sylvicola
Hartlaub's Duck;Pteronetta hartlaubii
Orinoco Goose;Oressochen jubatus
Andean Goose;Oressochen melanopterus
Upland Goose;Chloephaga picta
Upland Goose (White-breasted);Chloephaga picta (White-breasted)
Upland Goose (Bar-breasted);Chloephaga picta (Bar-breasted)
Kelp Goose;Chloephaga hybrida
Ashy-headed Goose;Chloephaga poliocephala
Ruddy-headed Goose;Chloephaga rubidiceps
Ashy-headed x Ruddy-headed Goose (hybrid);Chloephaga poliocephala x rubidiceps
Chloephaga sp.;Chloephaga sp.
goose sp.;Anatidae (goose sp.)
Radjah Shelduck;Radjah radjah
Egyptian Goose;Alopochen aegyptiaca
Knob-billed Duck x Egyptian Goose (hybrid);Sarkidiornis melanotos x Alopochen aegyptiaca
Mauritius Shelduck;Alopochen mauritiana
Reunion Shelduck;Alopochen kervazoi
Ruddy Shelduck;Tadorna ferruginea
Egyptian Goose x Ruddy Shelduck (hybrid);Alopochen aegyptiaca x Tadorna ferruginea
South African Shelduck;Tadorna cana
Australian Shelduck;Tadorna tadornoides
Paradise Shelduck;Tadorna variegata
Common Shelduck;Tadorna tadorna
Ruddy x Common Shelduck (hybrid);Tadorna ferruginea x tadorna
Crested Shelduck;Tadorna cristata
Spur-winged Goose;Plectropterus gambensis
